Titulo;Genero;Linguagens;Categoria;Disponibilidade_Geografica;Duracao;IMDb_Score;Rotten_Tomatoes_Score;Metacritic_Score;Premios_Recebidos;Premios_Indicados;Receita_Bilheteria;Data_Lancamento_Netflix;Total_Score
Pet Sematary;Horror;English;Movie;17;1-2 hour;5.7;5.7;5.7;1.0;9.0;1;2019-12-20;5.7
Angel of Mine;Drama;English;Movie;1;1-2 hour;6.4;7.3;4.7;0.0;2.0;NAO_DEFINIDO;2019-12-20;6.133333333333334
American Dreamer;Crime;English;Movie;1;1-2 hour;6.1;5.3;4.0;0.0;0.0;NAO_DEFINIDO;2019-12-20;5.133333333333333
The Two Popes;Biography;English, Spanish, Italian, Latin, Portuguese, French, German;Movie;36;> 2 hrs;7.6;8.9;7.5;3.609665427509294;6.350078492935636;NAO_DEFINIDO;2019-12-20;8.0
Whats New Scooby-Doo?;Comedy;English;Series;1;< 30 minutes;6.4;5.4;4.7;5.0;9.0;1;2019-12-15;5.5
One Floor Below;Drama;Romanian;Movie;1;1-2 hour;6.4;8.2;6.6;7.0;11.0;NAO_DEFINIDO;2019-12-15;7.066666666666666
6 Underground;Action;English, Turkmen, Cantonese, Italian, Spanish, Ukrainian, French;Movie;36;> 2 hrs;6.1;3.7;4.1;1.0;9.0;NAO_DEFINIDO;2019-12-13;4.633333333333333
Divided We Fall;Comedy;German, Czech;Movie;2;1-2 hour;7.6;9.0;6.9;3.609665427509294;4.0;1;2019-12-13;7.833333333333333
Mary, Queen of Scots;Biography;English, French, Scottish Gaelic, Latin;Movie;6;> 2 hrs;6.3;2.7;6.0;7.0;6.350078492935636;1;2019-12-13;5.0
Happy Death Day 2U;Comedy;English, French;Movie;9;1-2 hour;6.2;7.1;5.7;0.0;4.0;1;2019-12-13;6.333333333333333
Midsommar;Drama;English, Swedish;Movie;2;> 2 hrs;7.1;8.3;7.2;3.609665427509294;6.350078492935636;1;2019-12-12;7.533333333333334
Incident in a Ghostland;Drama;English, French;Movie;1;1-2 hour;6.4;5.6;4.4;6.0;5.0;NAO_DEFINIDO;2019-12-12;5.466666666666666
The Sky Is Pink;Drama;Hindi;Movie;31;> 2 hrs;7.6;7.1;5.5;0.0;9.0;1;2019-12-11;6.733333333333333
Light of My Life;Drama;English;Movie;1;1-2 hour;6.6;8.2;6.7;0.0;5.0;1;2019-12-10;7.166666666666667
Infinite Football;Documentary;Romanian;Movie;1;1-2 hour;6.6;10.0;7.5;1.0;3.0;NAO_DEFINIDO;2019-12-10;8.033333333333333
12:08 East of Bucharest;Comedy;Romanian;Movie;1;1-2 hour;7.4;9.6;7.7;3.609665427509294;13.0;1;2019-12-10;8.233333333333334
Hail Satan?;Documentary;English;Movie;1;1-2 hour;7.3;9.6;7.6;3.0;19.0;1;2019-12-07;8.166666666666666
On the Basis of Sex;Biography;English;Movie;5;> 2 hrs;7.1;7.3;5.9;3.0;12.0;1;2019-12-07;6.766666666666667
Marriage Story;Comedy;English, Spanish;Movie;36;> 2 hrs;7.9;9.4;9.4;3.609665427509294;6.350078492935636;NAO_DEFINIDO;2019-12-06;8.9
Men in Black: International;Action;English, French, Chinese;Movie;4;1-2 hour;5.6;2.3;3.8;0.0;9.0;2;2019-12-05;3.9
King of Thieves;Biography;English;Movie;1;1-2 hour;5.5;3.3;4.7;0.0;2.0;1;2019-12-05;4.5
The Operative;Action;English, German, Persian, Hebrew, Kurdish, French;Movie;5;1-2 hour;5.7;4.1;4.7;0.0;0.0;NAO_DEFINIDO;2019-12-01;4.833333333333333
The Shape of Water;Adventure;English, American Sign Language, Russian, French;Movie;2;> 2 hrs;7.3;9.2;8.7;3.609665427509294;6.350078492935636;2;2019-12-01;8.4
The Greatest Showman;Biography;English;Movie;2;1-2 hour;7.6;5.7;4.8;3.609665427509294;6.350078492935636;2;2019-12-01;6.033333333333332
The House with a Clock in Its Walls;Comedy;English;Movie;8;1-2 hour;6.1;6.5;5.7;1.0;1.0;2;2019-12-01;6.1000000000000005
